Province/State,Country/Region,Lat,Long,1/1/20,1/2/20,1/3/20,1/4/20,1/5/20,1/6/20,1/7/20,1/8/20,1/9/20,1/10/20,1/11/20,1/12/20,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20
,Barbados,13.1939,-59.5432,5,5,5,4,4,4,6,6,7,9,11,9,9,9,8,8,6,6,7,8,7,6,6,6,5,4,3,4,4,5,6,6,6,5,5,6,7,8,9,8,8,8,8,8,9,8,8,7,8,8,8,8,5,4,4,6,5,5,5,6,6,5,5,6,7,7,7,6,5,6,7,6,6,6,5,4,3,4,5,6,6,6,7,7,7,7,5,5,6,8,7,5,5,5,5,5,5,6,5,6,5,5,5
,Belarus,53.7098,27.9534,6,5,4,6,4,3,2,4,4,3,4,6,5,3,6,5,2,4,2,4,7,7,6,7,6,4,2,3,4,4,3,3,7,7,3,4,7,6,4,4,9,5,5,6,2,2,7,7,5,5,2,4,6,8,5,4,3,4,5,4,7,5,4,4,3,2,2,2,2,2,6,8,8,8,5,6,3,5,5,3,4,7,3,2,1,1,2,1,3,7,3,6,6,7,4,4,2,3,5,5,5,5,4
,Belgium,50.8333,4.0,2,4,7,4,3,4,5,5,7,4,5,7,6,11,9,5,6,4,3,1,1,1,2,1,1,5,7,8,6,7,7,7,7,6,7,1,1,4,5,13,12,10,7,8,5,9,14,9,8,6,9,6,10,10,7,7,7,5,7,10,7,5,4,4,4,6,4,7,5,9,8,8,6,4,6,1,3,3,1,5,7,6,5,3,3,4,4,6,8,4,4,2,2,3,2,4,5,2,1,3,4,2,1
,Benin,9.3077,2.3158,3,4,3,3,2,1,1,1,2,1,2,1,1,2,3,3,3,2,2,1,1,2,3,3,4,2,1,1,2,2,3,3,3,2,2,2,2,3,3,2,2,3,4,2,2,2,2,2,1,2,2,2,2,3,3,3,1,1,1,1,2,3,2,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,3,3,3,2,1,2,2,2,3,3,3,4,2,4,2,4,3,3,4,2,2,2
,Bhutan,27.5142,90.4336,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Bolivia,-16.2902,-63.5887,1,0,1,0,1,2,4,2,3,3,2,1,1,1,2,3,2,2,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,3,2,1,1,1,1,1,1,2,2,2,2,3,2,1,1,3,4,2,1,2,1,1,1,1,2,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,2,1,2,0,0,0,0,1,1,1,1,1,0,0,0,1,3,1,3,2,3,2,2,2,1
,Bosnia and Herzegovina,43.9159,17.6791,1,0,0,0,3,2,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,2,1,1,2,1,1,1,2,5,3,1,0,1,3,2,1,1,2,1,0,1,1,1,2,1,1,1,1,2,2,1,2,1,2,3,2,1,1,2,1,1,0,1,0,1,1,1,2,0,1,1,0,0,1,2,2,2,1,1,1,0,0,1,2,2,0,1,3,4,2,1,1,1,1,1,0
,Brazil,-14.235,-51.9253,1,1,2,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,2,1,1,2,1,0,1,1,1,1,1,1,1,1,2,3,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Brunei,4.5353,114.7277,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1
,Bulgaria,42.7339,25.4858,3,2,1,2,4,6,4,3,1,0,1,1,0,0,0,1,2,1,1,3,2,1,3,1,0,0,1,1,1,4,1,2,1,2,2,3,7,3,1,0,1,2,2,1,1,2,0,1,1,1,1,2,2,1,4,2,2,2,2,3,2,2,3,5,2,1,2,2,1,2,1,1,0,2,1,1,0,2,2,1,1,2,1,2,1,1,2,2,2,2,2,1,2,1,1,3,3,3,2,1,2,1,2
,Burkina Faso,12.2383,-1.5616,4,5,5,4,3,3,2,2,3,2,4,4,5,4,3,3,4,4,3,2,2,3,4,4,5,5,4,3,4,4,4,4,4,4,4,4,4,4,3,4,5,6,6,5,4,4,4,3,4,3,4,4,4,6,5,5,3,3,3,3,2,3,3,3,3,2,2,2,3,3,3,3,4,4,3,3,2,3,3,3,3,1,2,5,4,2,2,1,3,4,3,3,2,1,2,3,2,2,2,3,4,3,3
,Cabo Verde,16.5388,-23.0418,7,7,7,7,8,9,11,10,10,11,11,9,8,8,7,7,8,8,7,5,4,4,5,6,6,8,6,8,8,7,5,5,6,5,5,7,7,7,8,9,10,9,8,7,5,5,6,7,8,7,9,9,8,8,6,5,6,5,5,6,9,9,9,8,7,8,7,6,6,6,5,5,5,5,5,8,9,8,7,7,8,8,8,8,7,6,7,7,8,7,5,5,6,6,6,7,7,8,7,8,7,7,7
,Cambodia,11.55,104.9167,4,3,3,3,3,2,1,2,2,2,2,1,2,2,1,1,1,1,2,1,1,1,2,2,3,2,4,3,2,2,1,2,2,1,2,2,1,2,1,4,3,2,3,3,3,3,2,2,4,4,3,4,4,4,2,1,2,2,2,2,2,3,3,3,3,2,2,2,3,3,3,3,3,4,3,3,2,3,3,4,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,1,2,2
,Cameroon,3.8480000000000003,11.5021,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,2,1,2,2,2,2,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,0,1,1,1,1,1,1,1
Alberta,Canada,53.9333,-116.5765,3,1,5,3,3,4,1,2,3,1,1,2,3,2,1,1,2,2,2,2,2,1,2,2,1,2,2,2,1,3,4,3,5,2,2,3,3,4,2,2,6,3,3,1,2,2,2,2,2,1,2,3,3,4,1,1,1,3,3,2,3,3,5,4,4,2,3,1,1,3,4,4,3,2,2,1,1,3,1,3,1,4,1,2,1,2,4,3,3,2,2,3,3,1,1,2,2,2,6,2,3,3,3
British Columbia,Canada,49.2827,-123.1207,3,3,2,4,3,4,2,4,3,1,4,3,3,2,2,4,3,2,4,2,2,4,3,3,2,2,3,3,1,3,2,3,5,2,1,2,1,1,2,2,1,1,1,0,2,2,2,2,1,1,1,1,1,2,4,3,1,1,2,3,3,1,2,3,2,2,1,1,1,1,3,4,2,2,4,2,1,1,1,1,1,1,2,2,2,1,2,2,4,3,4,2,2,2,2,2,2,1,2,1,1,1,2
Grand Princess,Canada,37.6489,-122.6655,2,6,6,3,5,6,3,4,5,6,3,7,5,4,5,4,8,2,4,5,3,7,2,2,1,1,5,2,4,5,5,2,4,11,8,5,3,2,3,8,9,3,2,3,3,2,4,7,3,3,2,2,3,6,8,5,3,2,3,3,10,6,7,3,2,3,3,3,3,3,3,2,2,5,5,6,3,2,3,2,2,2,3,5,5,5,5,6,3,3,3,4,9,7,8,6,5,2,4,4,3,3,3
Manitoba,Canada,53.7609,-98.8139,3,2,2,2,4,5,4,5,3,4,4,4,7,3,3,3,3,5,6,3,4,4,4,3,5,3,2,1,2,2,4,5,3,3,5,4,3,1,3,2,3,4,6,6,3,6,6,2,3,5,4,5,5,3,4,3,2,2,4,4,2,7,3,2,4,2,6,7,7,2,1,4,5,5,2,2,6,4,2,3,2,4,5,2,6,2,3,6,5,5,6,5,4,5,8,4,1,5,5,4,4,2,6
New Brunswick,Canada,46.5653,-66.4619,4,3,4,1,2,3,1,1,1,5,2,3,5,1,1,1,1,5,3,3,3,2,2,3,1,1,2,3,3,3,3,2,1,2,3,2,3,1,5,4,2,1,1,3,3,3,3,3,3,2,4,4,3,3,2,2,1,2,6,4,1,3,3,1,4,5,2,4,3,2,2,2,1,3,6,4,2,4,4,2,3,5,3,2,2,1,2,3,3,2,4,4,3,6,7,3,1,4,2,1,2,6,4
Newfoundland and Labrador,Canada,53.1355,-57.6604,1,3,3,4,3,2,4,3,2,6,4,4,4,4,3,3,2,4,5,4,2,4,4,6,5,4,2,5,1,2,3,3,3,3,11,7,6,6,3,4,5,4,2,2,6,6,6,5,3,4,4,7,7,6,4,2,2,2,2,3,3,1,1,4,4,10,7,3,3,6,3,1,2,3,7,7,4,7,6,5,4,8,5,6,5,1,4,4,4,2,2,6,3,4,5,3,2,3,5,2,2,4,2
Nova Scotia,Canada,44.681999999999995,-63.7443,6,4,4,1,1,6,2,1,4,5,3,5,4,2,2,2,2,8,3,4,3,2,1,3,1,2,5,3,4,4,5,3,2,4,4,3,3,2,4,6,3,4,2,4,2,4,3,5,2,3,6,4,2,4,3,2,1,1,7,5,2,4,3,3,6,6,3,8,4,2,3,3,1,5,6,4,4,3,4,2,6,6,4,2,6,3,5,4,3,1,3,5,3,8,8,4,2,3,3,1,2,8,5
Ontario,Canada,51.2538,-85.3232,3,2,1,2,1,2,3,3,3,3,3,2,1,2,2,2,3,2,3,3,4,4,5,2,1,1,3,2,2,1,1,2,3,2,2,3,4,2,1,3,2,3,3,4,2,3,4,3,2,3,4,4,5,3,3,2,3,2,4,6,2,3,4,2,3,2,2,4,4,3,2,2,3,6,4,2,4,4,1,3,4,2,3,4,2,5,1,3,3,4,4,2,2,2,2,2,3,2,3,2,4,3,2
Prince Edward Island,Canada,46.5107,-63.4168,7,8,8,3,3,9,5,3,7,11,6,7,10,4,3,4,3,15,7,7,6,5,4,6,3,1,7,5,9,9,9,5,2,6,6,5,7,4,8,8,5,6,3,5,7,7,5,6,5,4,8,7,4,6,5,4,2,2,10,8,3,6,4,5,8,11,6,12,6,4,5,5,3,7,9,7,6,6,6,3,7,10,8,3,7,4,5,8,6,2,7,8,4,10,12,5,2,6,4,3,4,10,8
Quebec,Canada,52.9399,-73.5491,6,2,2,2,2,1,3,4,3,3,5,5,1,1,3,2,3,3,2,2,5,4,7,5,3,3,3,4,2,1,3,3,4,4,2,5,5,4,2,3,6,2,5,6,3,3,6,5,4,4,6,5,6,6,1,4,2,2,5,5,1,1,7,4,3,2,1,5,3,1,4,3,3,8,7,3,6,6,5,1,5,5,3,7,4,6,4,2,4,3,3,3,5,4,3,3,5,4,3,3,3,3,2
Saskatchewan,Canada,52.9399,-106.4509,2,2,2,2,4,3,5,1,5,4,2,4,3,2,2,2,2,3,4,1,3,3,2,2,2,3,1,2,1,2,3,5,2,6,2,4,3,2,2,2,4,4,4,2,3,4,2,1,4,2,4,5,4,2,3,2,2,2,2,3,4,6,5,2,2,3,3,6,2,2,3,3,5,4,3,3,5,2,0,1,2,2,3,4,5,2,4,4,4,6,3,4,4,4,1,3,3,4,4,6,3,3,4
,Central African Republic,6.6111,20.9394,2,3,3,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,2,3,2,2,2,2,2,2,2,2,2,3,4,4,4,3,3,2,3,2,2,2,2,2,2,3,4,3,2,3,3,2,3,3,3,2,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,3,2,2,3,3,2,2,2,3,3,3,3,2,2,3,2,3,3,2,3,2,2,3,1,2,2
,Chad,15.4542,18.7322,4,7,9,8,7,4,5,6,6,6,5,5,3,3,3,7,8,8,7,6,6,7,7,6,7,6,5,5,6,6,7,6,5,5,6,5,4,5,8,8,9,9,7,6,4,5,7,7,6,7,6,5,7,7,9,8,5,3,4,6,6,5,3,3,4,6,5,4,4,5,4,7,7,6,4,3,5,7,6,5,5,4,2,1,3,3,4,5,6,4,2,4,5,3,3,3,4,5,7,7,7,8,8
,Chile,-35.6751,-71.543,2,2,1,2,3,3,2,2,3,2,3,2,1,2,4,5,2,1,1,1,1,1,2,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,1,1,2,3,3,3,1,2,2,2,3,1,2,1,1,2,2,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,2,3,1,1,1,1,1,1,2,2,2,1,1,1,1,1,3,2,2,3,2,2,2,3,2,1,1,1,1,1
Anhui,China,31.8257,117.2264,2,2,2,2,4,2,6,3,3,3,2,1,1,3,4,3,2,1,2,1,2,1,3,5,4,5,3,2,2,2,1,2,2,3,1,4,7,2,1,1,3,2,1,4,3,8,3,3,2,2,3,3,2,4,6,3,4,4,2,1,3,3,1,3,5,4,1,5,5,3,2,3,3,2,2,4,2,3,3,4,3,4,4,4,5,3,5,3,4,2,1,2,4,2,2,3,2,1,1,2,4,5,6
Beijing,China,40.1824,116.4142,1,1,1,1,0,1,2,2,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,5,4,2,1,1,1,2,2,1,1,1,1,2,1,1,2,2,3,2,1,1,1,1,1,2,1,3,3,3,2,1,1,3,3,2,1,2,2,1,1,3,3,1,2,2,2,2,2,2,2,1,1,2,2,1,1,2,2
Chongqing,China,30.0572,107.874,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1
Fujian,China,26.0789,117.9874,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,2
