Province/State,Country/Region,Lat,Long,1/1/20,1/2/20,1/3/20,1/4/20,1/5/20,1/6/20,1/7/20,1/8/20,1/9/20,1/10/20,1/11/20,1/12/20,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20
,Barbados,13.1939,-59.5432,9,23,20,6,26,62,43,10,28,52,24,41,71,54,64,34,23,20,37,10,36,35,69,59,31,18,23,9,34,15,11,33,25,19,21,13,23,23,16,17,37,47,60,38,25,20,12,11,30,56,56,17,19,22,33,16,20,10,15,17,18,24,26,35,16,9,15,11,9,19,27,11,33,20,77,56,10,10,12,15,49,48,28,11,9,15,24,28,11,23,17,15,11,10,8,7,5,6,6,5,6,4,6
,Belarus,53.7098,27.9534,26,25,2,61,27,6,14,32,38,78,95,11,55,47,15,9,6,4,4,6,17,78,28,22,60,14,40,30,78,53,74,82,96,47,31,4,39,7,25,7,87,87,83,61,30,19,11,6,44,21,26,22,19,56,43,46,72,84,23,31,62,68,71,62,62,13,51,31,52,69,83,90,21,76,11,1,38,4,23,5,75,42,5,3,2,2,3,3,21,18,6,9,9,21,16,3,1,1,1,10,6,4,2
,Belgium,50.8333,4.0,16,20,85,25,22,23,23,88,99,84,6,30,25,97,71,6,74,42,23,11,6,9,11,10,11,31,88,87,40,36,22,94,95,95,89,13,4,5,73,88,98,57,35,97,37,17,96,72,85,94,91,24,27,96,84,86,95,94,77,92,69,96,63,70,99,98,13,81,55,100,96,65,28,52,14,1,1,2,6,83,39,3,1,0,1,1,1,1,6,6,6,1,8,8,1,0,15,1,1,4,2,4,4
,Benin,9.3077,2.3158,4,4,2,7,4,0,6,4,1,3,15,17,6,0,2,3,5,2,1,3,3,2,2,3,3,3,5,3,5,2,3,6,3,4,5,4,2,4,3,6,7,3,3,1,1,4,2,5,6,3,4,6,6,5,4,4,1,5,4,6,19,57,34,15,4,10,6,10,23,27,22,10,22,17,3,0,5,9,30,11,22,47,65,52,40,17,7,3,25,9,15,11,7,7,17,8,5,14,14,56,63,13,3
,Bhutan,27.5142,90.4336,5,28,59,71,40,1,16,39,45,8,3,6,6,4,4,6,34,28,22,15,11,9,19,11,1,27,41,45,23,36,27,33,22,26,25,38,24,16,12,8,13,9,9,5,14,20,16,44,48,60,60,24,60,36,34,33,61,19,8,21,33,56,60,55,38,44,45,26,24,42,46,17,15,66,30,12,32,43,45,57,52,41,73,20,52,28,38,47,23,8,44,71,55,13,28,24,30,33,33,56,41,44,33
,Bolivia,-16.2902,-63.5887,93,96,84,73,64,62,50,98,80,43,44,45,56,92,90,49,40,67,45,78,64,63,92,31,11,18,39,57,76,91,88,70,68,20,50,55,53,78,42,95,99,98,95,96,63,28,31,38,32,31,75,83,95,38,9,10,69,84,11,3,8,2,9,16,6,9,18,12,2,31,45,19,46,42,54,74,92,76,49,45,83,45,23,40,77,63,82,68,35,76,93,72,31,63,50,7,13,92,99,10,12,11,8
,Bosnia and Herzegovina,43.9159,17.6791,8,9,1,16,69,8,11,2,0,3,30,12,3,2,1,4,2,10,28,7,4,1,2,2,32,77,38,55,80,19,11,14,32,11,82,62,10,8,4,5,21,46,33,6,92,24,3,5,24,60,66,7,5,2,8,4,78,64,76,4,65,80,91,65,6,76,93,61,32,10,8,2,9,21,34,0,1,2,1,0,3,43,47,78,36,37,17,7,5,11,54,46,5,3,5,4,1,0,1,1,1,5,2
,Brazil,-14.235,-51.9253,93,78,89,76,83,91,89,60,78,82,27,92,64,41,40,63,63,57,42,44,71,81,94,91,94,94,90,96,94,77,31,56,72,37,64,68,74,81,98,95,90,75,22,86,65,54,84,67,44,86,85,74,93,65,56,75,62,77,64,83,96,78,94,80,87,96,90,75,78,86,80,91,46,49,64,81,46,18,32,39,91,60,61,84,96,60,56,54,69,17,13,8,13,43,38,32,4,35,90,61,84,56,75
,Brunei,4.5353,114.7277,81,57,78,84,53,46,59,73,57,92,96,99,97,94,86,96,95,71,81,36,14,17,7,16,38,92,79,53,76,61,18,23,25,52,65,56,23,18,77,97,83,15,63,52,73,83,78,76,51,72,25,8,8,11,13,22,80,85,77,66,30,65,97,99,100,90,21,9,52,79,57,65,28,54,28,30,23,18,17,82,95,76,88,73,62,94,87,94,95,98,98,69,94,83,71,69,82,99,88,89,69,43,60
,Bulgaria,42.7339,25.4858,15,18,1,12,55,50,12,2,0,5,7,66,3,0,2,7,5,4,6,16,6,1,5,2,2,5,28,19,13,44,7,12,5,11,20,69,63,44,23,7,12,75,16,10,13,69,11,11,7,49,94,74,57,5,7,3,4,75,64,35,2,6,6,44,89,2,8,85,94,46,28,7,2,69,98,0,2,7,3,2,3,90,98,87,28,18,18,7,6,17,28,69,50,2,80,91,1,1,1,1,1,6,3
,Burkina Faso,12.2383,-1.5616,2,2,3,5,3,0,2,4,1,5,5,5,4,0,1,3,5,2,1,2,5,3,5,3,3,2,4,1,5,3,4,5,3,4,5,6,2,5,2,5,6,3,4,1,2,2,3,5,6,2,4,5,6,4,4,3,5,3,2,2,2,1,1,2,2,1,2,5,6,2,7,4,0,3,5,0,6,9,20,8,4,2,6,13,10,6,7,6,1,6,2,4,5,4,1,3,2,1,4,12,17,10,5
,Cabo Verde,16.5388,-23.0418,2,4,5,3,7,3,0,7,3,0,4,3,6,5,0,5,3,6,2,2,1,5,1,5,14,32,11,5,2,7,9,5,3,3,5,5,8,2,5,4,6,6,3,5,4,7,4,7,9,9,2,5,9,8,4,21,31,10,5,5,4,5,5,3,1,4,1,3,5,6,2,6,7,2,7,4,0,1,3,3,2,5,5,6,2,8,6,7,7,2,8,6,5,3,2,3,3,3,1,3,5,3,5
,Cambodia,11.55,104.9167,6,6,0,8,7,2,8,5,4,4,22,9,9,0,1,5,5,9,0,5,5,2,5,4,5,18,5,5,15,69,26,9,6,3,8,7,5,2,2,17,22,7,4,7,5,5,7,34,24,5,4,8,5,10,3,6,4,2,5,3,6,4,6,4,5,17,5,10,20,6,14,11,7,9,8,2,4,5,7,2,6,3,6,7,9,8,10,6,24,6,8,12,4,3,4,3,5,56,67,92,98,56,61
,Cameroon,3.8480000000000003,11.5021,8,10,2,7,6,6,8,9,2,15,32,18,7,4,13,9,35,12,35,9,5,3,4,2,1,3,6,4,8,6,35,13,17,41,28,52,25,11,7,37,9,3,9,9,7,8,12,32,37,10,11,18,25,27,23,8,33,34,31,15,32,34,46,70,51,72,51,12,26,21,35,43,45,47,9,27,32,27,48,84,63,61,77,98,90,49,39,67,73,71,81,77,68,79,96,57,96,72,94,60,87,96,62
Alberta,Canada,53.9333,-116.5765,13,15,13,23,12,6,15,14,13,8,8,13,17,16,8,8,10,14,10,8,3,9,16,10,16,11,2,7,12,16,9,28,27,23,15,14,28,23,14,18,28,10,68,8,50,20,27,13,25,13,4,9,10,18,12,18,9,23,14,18,57,13,35,41,30,13,21,21,13,8,14,45,23,16,14,5,4,11,17,14,4,18,8,48,44,13,22,33,36,27,35,33,24,12,39,11,28,13,37,7,19,60,28
British Columbia,Canada,49.2827,-123.1207,100,82,85,99,90,96,98,99,41,47,96,92,91,32,37,76,71,67,99,99,97,97,97,100,99,90,99,95,87,97,91,99,95,74,57,95,95,83,94,81,17,15,53,28,89,67,95,55,34,25,10,17,45,92,96,31,53,64,77,94,78,54,95,85,47,94,42,74,42,19,93,60,17,25,8,4,2,4,5,8,8,9,23,84,84,30,69,99,100,97,98,81,69,38,76,32,11,8,8,6,4,8,27
Grand Princess,Canada,37.6489,-122.6655,11,22,9,11,36,14,8,28,30,59,12,38,26,38,42,14,94,22,11,7,11,81,26,24,40,70,84,23,33,14,19,11,13,13,12,9,14,16,14,12,6,5,8,11,14,11,17,15,15,11,15,17,13,23,16,22,11,8,10,7,11,26,8,8,7,12,14,87,25,25,16,17,18,13,99,95,89,71,61,35,21,32,66,27,73,49,25,13,89,77,16,16,7,4,8,91,92,82,20,16,22,18,9
Manitoba,Canada,53.7609,-98.8139,6,11,6,13,15,25,7,7,7,18,9,7,19,17,14,8,9,10,37,8,4,3,4,5,5,4,9,5,6,6,4,18,11,21,6,6,5,4,5,4,11,6,18,4,3,8,8,6,8,5,3,3,6,11,50,9,14,8,7,5,17,50,13,12,7,15,5,16,49,10,5,33,32,18,8,10,30,7,4,9,7,6,14,9,64,11,17,26,13,10,23,48,74,80,78,9,10,79,86,48,9,34,40
New Brunswick,Canada,46.5653,-66.4619,55,40,26,27,27,28,8,21,37,9,18,95,78,15,15,41,28,11,14,49,19,7,9,14,10,8,71,44,17,10,5,3,8,23,19,18,9,33,49,24,5,81,37,41,44,11,4,10,13,34,62,9,7,11,8,18,17,14,47,50,23,28,33,70,86,23,5,9,11,39,71,39,8,82,41,11,7,46,17,8,91,23,6,6,79,7,7,40,3,4,33,13,91,100,61,10,18,47,11,11,56,95,20
Newfoundland and Labrador,Canada,53.1355,-57.6604,2,25,53,44,23,17,7,3,4,12,7,25,11,7,3,6,10,8,11,5,9,7,8,15,14,2,15,25,13,16,10,7,4,22,52,20,10,6,11,19,6,9,7,12,18,10,3,10,9,5,42,15,13,14,13,7,21,11,5,18,32,15,7,25,26,62,15,10,7,12,4,10,16,21,69,43,6,8,64,13,70,76,3,4,14,10,8,81,86,8,7,67,98,71,16,15,9,53,53,23,37,59,86
Nova Scotia,Canada,44.681999999999995,-63.7443,78,50,28,19,43,66,8,47,75,23,38,77,95,9,17,45,49,23,13,84,24,9,8,21,17,10,91,42,40,16,12,3,73,49,21,17,13,49,92,21,7,95,75,70,68,19,5,21,56,38,92,12,10,13,8,18,37,26,72,47,52,65,28,47,94,24,3,17,9,12,27,75,8,84,77,7,13,57,63,7,99,11,4,3,99,5,90,20,7,1,18,21,89,100,91,10,8,42,9,22,22,91,30
Ontario,Canada,51.2538,-85.3232,17,10,20,20,15,16,20,21,12,32,16,10,12,11,47,14,12,19,40,9,9,7,15,13,12,12,13,12,9,8,5,12,41,32,26,15,16,7,7,5,14,9,20,14,5,7,28,8,21,22,8,7,9,9,12,15,14,14,23,19,7,38,45,40,35,11,6,11,48,43,10,8,50,91,10,9,47,20,6,48,22,7,6,44,13,73,7,8,13,8,4,9,6,8,11,73,13,8,12,67,42,12,54
Prince Edward Island,Canada,46.5107,-63.4168,41,51,21,27,27,37,15,32,62,33,21,96,88,16,23,40,24,35,15,69,30,11,9,22,11,7,77,42,32,22,20,3,9,31,22,17,12,25,56,57,8,84,21,63,56,10,4,16,26,24,74,11,9,9,8,16,23,17,45,61,32,71,28,61,92,56,5,16,17,30,61,71,12,56,78,17,34,43,53,10,95,20,15,5,90,12,54,77,5,4,10,31,89,68,17,10,11,62,16,24,20,86,59
Quebec,Canada,52.9399,-73.5491,12,17,17,18,15,10,2,9,12,6,16,10,7,7,5,12,9,17,14,10,19,20,20,22,7,13,25,6,5,5,5,5,11,21,28,37,10,22,6,7,16,11,27,33,6,6,20,22,6,30,23,8,19,35,7,34,12,9,11,27,8,7,21,23,6,11,4,12,5,6,12,16,8,43,37,8,7,38,19,6,50,12,6,13,36,21,54,6,34,8,12,7,11,82,60,84,82,37,8,9,13,16,28
Saskatchewan,Canada,52.9399,-106.4509,4,7,16,10,11,8,4,2,23,10,6,8,9,9,6,9,8,17,26,10,6,4,7,12,8,17,8,7,9,8,23,15,34,9,11,6,7,7,11,17,5,9,15,5,6,11,4,9,12,10,3,4,10,15,15,16,10,11,23,15,32,27,47,31,42,18,8,36,18,11,8,28,13,12,7,16,8,8,5,9,7,6,18,23,54,23,9,8,10,14,14,50,17,12,15,24,13,59,20,35,6,24,35
,Central African Republic,6.6111,20.9394,4,5,2,7,5,0,6,3,1,4,2,2,2,0,1,4,5,4,1,3,2,1,1,1,3,4,6,2,6,6,5,7,4,5,8,6,4,4,3,5,6,3,5,2,3,3,4,5,10,10,8,6,7,5,4,11,7,4,3,4,3,3,5,2,4,2,18,15,10,10,11,9,3,5,3,0,3,7,8,3,14,10,13,11,14,17,8,13,37,21,10,4,4,41,16,31,8,13,60,52,63,87,83
,Chad,15.4542,18.7322,4,4,2,7,4,0,6,5,1,5,2,5,3,0,2,2,5,2,0,1,2,0,0,2,2,2,4,1,3,4,3,5,2,4,8,8,4,5,3,6,2,0,1,1,1,1,2,4,6,3,4,1,1,1,3,4,3,4,4,3,4,5,6,2,3,1,2,5,6,2,6,1,0,0,0,0,0,0,0,0,0,0,1,1,2,4,5,3,2,7,3,3,4,6,5,2,3,0,4,6,5,6,2
,Chile,-35.6751,-71.543,1,4,5,3,7,5,1,5,11,1,3,4,5,2,3,3,3,6,2,3,2,4,4,6,6,3,4,5,26,16,6,6,7,3,4,10,6,0,3,2,2,4,3,6,2,2,2,4,14,5,2,4,4,5,3,4,4,2,1,3,3,3,5,3,1,1,1,4,4,6,0,4,4,5,2,0,0,2,1,1,1,5,3,3,2,2,4,5,5,1,1,1,1,1,0,2,0,1,0,1,3,3,2
Anhui,China,31.8257,117.2264,38,53,59,53,94,100,95,37,81,96,89,6,5,12,88,90,16,5,0,3,65,94,72,90,78,97,53,9,21,5,3,7,4,3,8,7,96,68,16,7,15,83,4,20,80,96,7,2,3,4,3,14,3,9,2,77,19,62,98,82,9,12,11,2,2,21,2,84,99,41,4,15,26,7,1,0,4,3,0,1,82,76,2,3,82,100,99,98,100,66,97,35,2,5,0,1,3,1,0,2,88,99,4
Beijing,China,40.1824,116.4142,1,4,0,4,28,35,3,3,1,4,3,5,2,0,1,3,3,4,0,0,3,0,3,4,2,3,4,2,8,1,1,2,52,1,2,9,13,5,2,2,2,2,2,22,95,2,4,3,5,3,4,6,3,2,2,3,4,2,3,17,4,46,17,1,2,31,4,56,82,0,2,3,1,1,3,0,1,0,0,0,1,0,0,3,18,88,1,1,1,4,7,1,1,1,0,0,1,1,1,11,3,2,2
Chongqing,China,30.0572,107.874,6,12,7,26,45,95,66,84,28,50,53,6,8,17,41,24,14,34,51,5,21,64,55,84,92,65,13,14,16,7,14,32,83,91,9,75,98,20,11,27,59,16,4,7,66,100,39,5,13,34,25,63,13,12,14,17,14,67,94,6,15,80,85,35,3,12,2,23,82,10,31,14,57,36,13,5,64,5,2,2,48,69,60,27,77,37,99,65,87,38,30,15,11,46,61,60,5,16,45,6,96,94,9
Fujian,China,26.0789,117.9874,8,9,0,15,12,2,6,1,3,8,30,7,8,0,35,32,42,27,32,2,5,11,13,56,83,99,11,8,10,6,2,6,15,95,88,22,82,80,11,14,8,14,83,84,88,91,85,3,6,5,4,7,8,8,3,6,9,9,5,4,79,11,83,94,74,43,70,66,96,55,60,98,90,56,4,2,72,82,98,24,24,30,87,89,8,61,91,99,78,97,83,43,97,99,60,71,64,35,2,2,3,84,15
